id,smiles,inchikey
Z1446775468,CC(=O)Nc1ccc(F)c(NCc2nc(-c3cc(F)c(F)c(F)c3)no2)c1,GGGLPWUNAJTJEU-UHFFFAOYSA-N
Z1566267126,CC(C)Sc1ccccc1NC(=O)c1ncn(-c2ccccc2)n1,MFLGOUAUGZUNCD-UHFFFAOYSA-N
Z1533233951,O=C(Nc1c(F)cccc1F)c1ccc(-n2ccnn2)cc1,HCONTODLFFVGET-UHFFFAOYSA-N
Z1729154020,CC(=O)Nc1ccccc1OCc1nc(-c2c(F)cccc2F)cs1,ZLEWVSDNHZLUGW-UHFFFAOYSA-N
Z1458818139,Cc1c(C(=O)N(c2ccccn2)C2CCCC2)nnn1-c1ccc(F)c(Cl)c1,CRLNZPIJYARVTF-UHFFFAOYSA-N
Z1355354604,Cc1ccc(-c2nc(C(=O)N(C)c3cccnc3N(C)C)cs2)c(C)c1,USXSYSDLJIUNEN-UHFFFAOYSA-N
Z1497317474,Cc1cc(C(=O)Nc2ccc3c(c2)OCO3)nn1-c1ccc(F)cc1F,GHMKCBQNURWQDK-UHFFFAOYSA-N
Z1160937246,O=C(Nc1ccc(F)cc1F)c1csc(-c2ccc3c(c2)OCCO3)n1,HRDBGPXHOTTXQM-UHFFFAOYSA-N
Z1268249974,CCCNc1ccc(C#N)cc1NC(=O)c1ccn(-c2ccccc2F)n1,DKULEIIXBFNVIO-UHFFFAOYSA-N
Z1524758413,O=C(Nc1ccncc1F)c1cc2c(s1)-c1ccccc1CC2,ZADQLUWKYJPAHG-UHFFFAOYSA-N
Z1375254972,O=C(c1ccn(-c2cccc(C(F)(F)F)c2)n1)N1CCSc2ccncc21,OKOVEPFSVWIULY-UHFFFAOYSA-N
Z1411843778,COc1cc(F)c(NC(=O)c2ccc(-n3nc(C)cc3C)c(F)c2)cc1F,XZTSNQRDZGXYPB-UHFFFAOYSA-N
Z1261986444,O=C1CCc2ccc(NC(=O)c3ccc(-c4ccccc4F)s3)cc2N1,YYYMYJUYKFXGEI-UHFFFAOYSA-N
Z1355355750,Cc1c(C(=O)N(C)c2cccnc2N(C)C)nnn1-c1ccc(F)c(Cl)c1,WKMAVIXVOIHSMS-UHFFFAOYSA-N
Z1408467976,O=C(Nc1cc(F)ccc1Br)c1ccc2ncccc2c1,GOYPGIJKSLDLDX-UHFFFAOYSA-N
Z131209964,Cc1nc(C(=O)Nc2ccc(F)c(F)c2F)nn1-c1ccc(Cl)cc1,QOHWXCZOIXKJSF-UHFFFAOYSA-N
Z1458914024,COCc1cc(NC(=O)c2sc(-c3ccc(C)cc3C)nc2C)ncn1,UOOHYGXFZULLFQ-UHFFFAOYSA-N
Z1228037777,O=C(c1cnc(-c2ccccc2F)s1)N1CCOc2cc(F)ccc21,VRIIDFBVZHPWBT-UHFFFAOYSA-N
Z1390743250,COc1cc(OC)c(NC(=O)c2cnn(-c3ccccc3Cl)c2C)cc1F,VWVSZXCANVVVBT-UHFFFAOYSA-N
Z144597324,O=C(Nc1cc(F)ccc1F)c1ccc(-n2cccc2)cc1,AJIGUBFOPBXCNN-UHFFFAOYSA-N
